item_id,local_name,candidate_name,reasons,reason_zh_cn,source_url,checked_at
583,,KETUPAT SAYUR,missing_local_name|not_simplified_chinese,本地名称缺失|不是简体中文名称,https://www.divine-pride.net/database/item/583/cRO,2026-07-21
1341,毁灭者战斧,Destruction Axe,different_from_local|replaced_chinese_with_non_chinese|not_simplified_chinese,与当前本地名称不同|中文名称被非中文替换|不是简体中文名称,https://www.divine-pride.net/database/item/1341/cRO,2026-07-20
1864,封印古代英雄拳套,豪牢等 酒捞攫 匙老,different_from_local|suspected_korean_mojibake,与当前本地名称不同|疑似韩文错误解码乱码,https://www.divine-pride.net/database/item/1864/cRO,2026-07-20
2054,封印钢铁魔杖,豪牢等 酒捞攫 胶怕橇,different_from_local|suspected_korean_mojibake,与当前本地名称不同|疑似韩文错误解码乱码,https://www.divine-pride.net/database/item/2054/cRO,2026-07-20
2183,改良型天使之保护,俺樊等 玫荤狼 焊龋,different_from_local|suspected_korean_mojibake,与当前本地名称不同|疑似韩文错误解码乱码,https://www.divine-pride.net/database/item/2183/cRO,2026-07-20
2666,,Lamp Of Hope,missing_local_name|not_simplified_chinese,本地名称缺失|不是简体中文名称,https://www.divine-pride.net/database/item/2666/cRO,2026-07-21
2904,,Naqsi,missing_local_name|not_simplified_chinese,本地名称缺失|不是简体中文名称,https://www.divine-pride.net/database/item/2904/cRO,2026-07-21
2956,防御戒指,技捞橇萍 傅,different_from_local|suspected_korean_mojibake,与当前本地名称不同|疑似韩文错误解码乱码,https://www.divine-pride.net/database/item/2956/cRO,2026-07-20
2957,增强型火焰国王戒指,氢惑等 傅 坷宏 敲饭烙肺靛,different_from_local|suspected_korean_mojibake,与当前本地名称不同|疑似韩文错误解码乱码,https://www.divine-pride.net/database/item/2957/cRO,2026-07-20
2958,增强型共鸣戒指,氢惑等 傅 坷宏 饭炼惩胶,different_from_local|suspected_korean_mojibake,与当前本地名称不同|疑似韩文错误解码乱码,https://www.divine-pride.net/database/item/2958/cRO,2026-07-20
4700,,STR+1,missing_local_name|not_simplified_chinese,本地名称缺失|不是简体中文名称,https://www.divine-pride.net/database/item/4700/cRO,2026-07-21
4701,,STR+2,missing_local_name|not_simplified_chinese,本地名称缺失|不是简体中文名称,https://www.divine-pride.net/database/item/4701/cRO,2026-07-21
4702,,STR+3,missing_local_name|not_simplified_chinese,本地名称缺失|不是简体中文名称,https://www.divine-pride.net/database/item/4702/cRO,2026-07-21
